id,serialNumber,locationName,latitude,longitude,coords_color,address,postalCode,status,rvm_remarks,model,rvm_val2,rvm_val3,rvm_val4,rvmOpeningHours
254,SGRVM0316,618 Choa Chu Kang North 7,1.400375,103.746980,Red,"618 Choa Chu Kang North 7, 680618",680618,RUNNING,,,,,,Mon - Sun:  24 Hrs
255,SGRVM0317,17 Marsiling Ln,1.442640,103.777740,Red,"17 Marsiling Ln, 730017",730017,RUNNING,,,,,,Mon - Sun:  24 Hrs
260,SGRVM0323,149 Woodlands Street 13,1.435762,103.773165,Red,"149 Woodlands Street 13, 730149",730149,RUNNING,,,,,,Mon - Sun:  24 Hrs
261,SGRVM0324,153 Gangsa Rd,1.375984,103.765288,Red,"153 Gangsa Rd, 670153",670153,RUNNING,,,,,,Mon - Sun:  24 Hrs
263,SGRVM0326,359 Clementi Ave 2,1.313430,103.769883,Red,"359 Clementi Ave 2, 120359",120359,RUNNING,,,,,,Mon - Sun:  24 Hrs
264,SGRVM0327,178 Woodlands Street 13,1.434595,103.777658,Red,"178 Woodlands Street 13, 730178",730178,RUNNING,,,,,,Mon - Sun:  24 Hrs
265,SGRVM0328,108 Gangsa Rd,1.377690,103.767160,Red,"108 Gangsa Rd, 670108",670108,RUNNING,,,,,,Mon - Sun:  24 Hrs
267,SGRVM0330,454 Clementi Ave 3,1.312244,103.766413,Red,"454 Clementi Ave 3, 120454",120454,RUNNING,,,,,,Mon - Sun:  24 Hrs
268,SGRVM0331,113 Woodlands Street 13,1.437990,103.781170,Red,"113 Woodlands Street 13, 730113",730113,RUNNING,,,,,,Mon - Sun:  24 Hrs
269,SGRVM0332,113 Clementi Street 13,1.323472,103.770353,Red,"113 Clementi Street 13, 120113",120113,RUNNING,,,,,,Mon - Sun:  24 Hrs
270,SGRVM0333,140 Petir Rd,1.375459,103.768969,Red,"140 Petir Rd, 670140",670140,RUNNING,,,,,,Mon - Sun:  24 Hrs
271,SGRVM0334,101 Gangsa Rd,1.379390,103.767520,Red,"101 Gangsa Rd, 670101",670101,RUNNING,,,,,,Mon - Sun:  24 Hrs
272,SGRVM0335,326 Clementi Ave 5 ,1.314475,103.766381,Red,"326 Clementi Ave 5 , 120326",120326,RUNNING,,,,,,Mon - Sun:  24 Hrs
273,SGRVM0336,311B Clementi Ave 4,1.319451,103.765632,Red,"311B Clementi Ave 4, 122311",122311,RUNNING,,,,,,Mon - Sun:  24 Hrs
275,SGRVM0338,343 Clementi Ave 5,1.317813,103.770932,Red,"343 Clementi Ave 5, 120343",120343,RUNNING,,,,,,Mon - Sun:  24 Hrs
277,SGRVM0340,131 Cashew Rd,1.374604,103.770781,Red,"131 Cashew Rd, 670131",670131,RUNNING,,,,,,Mon - Sun:  24 Hrs
279,SGRVM0342,288C Jurong East Street 21,1.339725,103.743636,Red,"288C Jurong East Street 21, 603288",603288,RUNNING,,,,,,Mon - Sun:  24 Hrs
280,SGRVM0343,102 Woodlands Street 13,1.436269,103.781002,Red,"102 Woodlands Street 13, 730102",730102,RUNNING,,,,,,Mon - Sun:  24 Hrs
281,SGRVM0344,160 Woodlands Street 13,1.433329,103.774652,Red,"160 Woodlands Street 13, 730160",730160,RUNNING,,,,,,Mon - Sun:  24 Hrs
282,SGRVM0345,310 Woodlands Street 31,1.430135,103.775970,Red,"310 Woodlands Street 31, 730310",730310,RUNNING,,,,,,Mon - Sun:  24 Hrs
284,SGRVM0347,103 Clementi Street 14,1.322680,103.768880,Red,"103 Clementi Street 14, 120103",120103,RUNNING,,,,,,Mon - Sun:  24 Hrs
363,B9481034,Block 114 Edgefield Plains,1.395677,103.907358,Blue,"Block 114 Edgefield Plains, 820114",820114,RUNNING,,,,,,Mon - Sun:  24 Hrs
